"","faggch","faggat","faggde","faggfr","faggit"
"2014-12-31 23:00:00",25,207.297818549552,621.53768660604,70.9978893632063,475
"2015-01-01 00:00:00",25,190.927547495682,611.999750444826,62.8270561660731,475
"2015-01-01 01:00:00",25,183.299520740373,595.957742947183,60.773493652654,475
"2015-01-01 02:00:00",25,183.590458273442,579.842418344571,57.1719206484518,475
"2015-01-01 03:00:00",25,179.464915564429,579.399095465008,54.0834495758718,475
"2015-01-01 04:00:00",25,175.064500850134,564.898238868616,56.7473621017424,475
"2015-01-01 05:00:00",25,168.398413879533,533.866900094115,59.2747112405591,475
"2015-01-01 06:00:00",25,155.03323518851,516.950063669079,60.0867719701321,475
"2015-01-01 07:00:00",25,147.048618994877,521.812412655431,59.3765336851464,475
"2015-01-01 08:00:00",25,144.746915800693,514.690144694414,59.630016127435,475
"2015-01-01 09:00:00",25,140.464267846835,485.716004050946,59.7613883060568,475
"2015-01-01 10:00:00",25,141.405448049074,457.125875668225,57.8946006412043,475
"2015-01-01 11:00:00",25,139.159599077192,442.070337615892,56.6721809323259,475
"2015-01-01 12:00:00",25,147.444075237119,443.810961929216,55.8108628101988,475
"2015-01-01 13:00:00",25,143.859787247595,467.756359090352,57.4121488241689,475
"2015-01-01 14:00:00",25,147.835328808645,500.119269489974,59.8829476093591,475
"2015-01-01 15:00:00",25,148.915641133389,512.612822370611,59.8328093407376,475
"2015-01-01 16:00:00",25,146.130856330572,501.579386536102,56.5332648698495,475
"2015-01-01 17:00:00",25,132.714333837481,471.831275576466,53.7709919307745,475
"2015-01-01 18:00:00",25,149.621535527215,442.47129362483,53.9075459436978,475
"2015-01-01 19:00:00",25,173.707562247645,409.571980824892,54.2552664074405,475
"2015-01-01 20:00:00",25,178.113912787272,375.666646513382,56.1320695388659,475
"2015-01-01 21:00:00",25,197.468165489905,351.027449561259,56.9172308935764,475
"2015-01-01 22:00:00",25,211.493173120581,332.951920165011,54.5790129388517,475
"2015-01-01 23:00:00",25,228.354504085564,295.065146375029,54.9863154891153,475
"2015-01-02 00:00:00",25,231.81289295393,287.843496117593,55.3396493898143,475
"2015-01-02 01:00:00",25,234.088592050352,283.232806611067,56.1468884742073,475
"2015-01-02 02:00:00",25,249.0619026991,275.141658059231,55.7605636257179,475
"2015-01-02 03:00:00",25,257.37536067801,272.764057119663,55.7268493494191,475
"2015-01-02 04:00:00",25,276.454312878652,274.394917146008,56.1113832394191,475
"2015-01-02 05:00:00",25,283.883281241121,278.079916077472,60.4079022597332,475
"2015-01-02 06:00:00",25,281.761743176827,283.948205511688,64.1035183769319,475
"2015-01-02 07:00:00",25,280.345600569308,304.071827915141,65.7053277859445,475
"2015-01-02 08:00:00",25,277.286673240291,318.42733542503,66.7898223927065,475
"2015-01-02 09:00:00",25,273.304829019176,330.189131843707,70.6343285315985,475
"2015-01-02 10:00:00",25,274.043120763244,334.151921293602,72.3891852749777,475
"2015-01-02 11:00:00",25,271.112446824483,339.438396122214,71.6317409699419,475
"2015-01-02 12:00:00",25,271.107115888039,326.243709213015,72.0930457552012,475
"2015-01-02 13:00:00",25,270.844088358692,325.610060718893,73.6736595602931,475
"2015-01-02 14:00:00",25,268.590808622659,343.582449708194,75.1728443024609,475
"2015-01-02 15:00:00",25,260.110535187526,358.019293095975,74.7176036370081,475
"2015-01-02 16:00:00",25,239.493595105934,363.07956708924,73.9953742518917,475
"2015-01-02 17:00:00",25,248.302113893019,354.370554201503,73.4991095472791,475
"2015-01-02 18:00:00",25,247.821509645851,346.871192713327,72.047093702387,475
"2015-01-02 19:00:00",25,245.290859291963,321.693160065239,73.4380737950629,475
"2015-01-02 20:00:00",25,223.157157010554,311.134823633305,73.7129465609749,475
"2015-01-02 21:00:00",25,230.455241066619,310.068108664213,72.1731431798927,475
"2015-01-02 22:00:00",25,222.961760088651,301.913533328642,71.7649809262841,475
"2015-01-02 23:00:00",25,168.197938983407,290.081156385127,64.1878755560545,475
"2015-01-03 00:00:00",25,132.055102220656,283.732328276142,55.9361431174757,475
"2015-01-03 01:00:00",25,112.937835956416,284.288907653696,56.2625121185374,475
"2015-01-03 02:00:00",25,107.018227974409,280.214053299695,56.5742383336962,475
"2015-01-03 03:00:00",25,105.904236892751,295.880794442147,57.688506569533,475
"2015-01-03 04:00:00",25,111.260505146102,301.473426326436,57.0655495051644,475
"2015-01-03 05:00:00",25,141.695428539688,290.846815694836,57.0096921396438,475
"2015-01-03 06:00:00",25,172.458121580858,294.934785475291,56.5774446731858,475
"2015-01-03 07:00:00",25,210.639556215808,302.906595231497,56.0941729087333,475
"2015-01-03 08:00:00",25,226.866776406667,318.697899940283,56.6669082423147,475
"2015-01-03 09:00:00",25,234.505795603983,342.332337458016,59.1115379970209,475
"2015-01-03 10:00:00",25,222.25122339016,344.818379621057,61.087455538201,475
"2015-01-03 11:00:00",25,227.795233234885,348.823134858468,61.6448548140601,475
"2015-01-03 12:00:00",25,232.404461947984,353.713923169371,63.2660013188262,475
"2015-01-03 13:00:00",25,230.977266127359,364.965127902021,62.1500583763417,475
"2015-01-03 14:00:00",25,237.200069098371,385.097660224857,65.361993335192,475
"2015-01-03 15:00:00",25,227.632787758831,404.542002036944,67.6764293635841,475
"2015-01-03 16:00:00",25,201.35312158494,416.299058609171,66.5083389839522,475
"2015-01-03 17:00:00",25,194.922484249365,425.968408436188,63.9879013037079,475
"2015-01-03 18:00:00",25,198.102426673443,439.033247573637,62.4360694647731,475
"2015-01-03 19:00:00",25,193.690394900098,446.572897571287,61.3815306331535,475
