"","TEFa","TEFb","TEFc","TEFd"
"2014-12-31 23:00:00",167.312559593465,58.6365537153463,133.535562891812,115.776277091613
"2015-01-01 00:00:00",172.620161108449,64.0643035888575,137.641895516892,119.711549085939
"2015-01-01 01:00:00",178.162620566165,66.3377632907142,140.757433124098,122.103805399441
"2015-01-01 02:00:00",180.068993245348,81.5094035610542,145.089299996712,128.434985062159
"2015-01-01 03:00:00",190.735204238893,83.7377212492938,150.862530184035,132.639320775745
"2015-01-01 04:00:00",192.405311270028,85.8854837888392,151.132718008938,132.911739247969
"2015-01-01 05:00:00",183.497232632339,81.4598373136549,144.571773366659,127.144053821301
"2015-01-01 06:00:00",179.331238333393,74.2076742304898,139.96141164361,122.045621641323
"2015-01-01 07:00:00",184.290201305398,72.8420516500313,141.913894730603,122.885648703919
"2015-01-01 08:00:00",187.982776455871,76.4887746083671,144.965528745164,125.901017238395
"2015-01-01 09:00:00",173.704945156453,71.5319457415965,134.716653917967,117.265242183225
"2015-01-01 10:00:00",166.465634691237,63.9473034974525,128.358887154844,110.90456123364
"2015-01-01 11:00:00",152.000413773978,64.0446631408045,120.629304972807,105.753165905694
"2015-01-01 12:00:00",146.046558947803,70.1002750250735,119.182673021766,106.357638857353
"2015-01-01 13:00:00",151.96960037696,76.8289048982242,124.546232510445,111.787671801788
"2015-01-01 14:00:00",167.979381914588,81.0213794413697,134.792200220841,119.939320253964
"2015-01-01 15:00:00",168.211651112746,86.4728557324836,137.246158401566,123.296198197333
"2015-01-01 16:00:00",165.205588308717,79.4791868997396,132.8303226254,118.205150634601
"2015-01-01 17:00:00",154.820294466446,46.1782567651633,117.089497762613,98.8105757962172
"2015-01-01 18:00:00",172.770892168269,25,118.037592640702,92.3907988500914
"2015-01-01 19:00:00",188.03546376482,29.6696065910227,125.026425737536,97.8854012853009
"2015-01-01 20:00:00",184.569666950963,41.1606661094422,123.274708973339,98.6871199704213
"2015-01-01 21:00:00",174.578447292728,46.6086265975799,119.757926529722,97.8197722282409
"2015-01-01 22:00:00",158.7139277036,44.2421617162247,111.809070893321,92.1704383260834
"2015-01-01 23:00:00",133.087508603867,57.9260670921859,102.410858397915,89.5171604842059
"2015-01-02 00:00:00",129.293126395595,61.9800466618065,101.515394649812,89.9664103284099
"2015-01-02 01:00:00",132.860156219973,63.8391871479284,103.672317052146,91.8338372860973
"2015-01-02 02:00:00",138.137329722928,65.5596706661644,106.336010656961,93.9126144740155
"2015-01-02 03:00:00",139.500336306578,63.5728425643099,105.956767779708,92.9697000521184
"2015-01-02 04:00:00",149.103277498808,58.2536970289672,108.679673521705,93.1517520159611
"2015-01-02 05:00:00",157.407751518965,54.8616758516083,111.855057777717,94.3248508588795
